series,episode,baker,signature,technical,showstopper,result
4,7,Ruby,Plum Jam Roly Poly with Ginger Ice Cream,2,Raspberry and Passion Fruit Mille-feuilleCaramelised Apple LatticePortuguese Custard Tarts,Safe
4,8,Beca,"Potato, Spelt and Rosemary Focaccia",4,Spiced Butternut Squash and Pecan 'Cheese' Cake,Safe
4,8,Christine,"Multi-Seeded Loaf with Pumpkin, Sesame and Sunflower Seeds",5,Sweet Potato Guitar with Passion Fruit Icing and Marshmallow Fondant,Eliminated
4,8,Frances,'Chelsea Flour Show' Bun Bouquet,3,Hidden Carrot Cake,Safe
4,8,Kimberley,Wild Garlic Pesto and Parma Ham Spelt Loaf,2,Butternut Squash and Spice Cake Toadstool House,Safe
4,8,Ruby,Mango and Nigella Seed Spelt Cob,1,Carrot Cake and Pistachio Garden Plot,Star Baker
4,9,Beca,Stilton and Walnut MacaronsBeetroot and Salmon Choux PuffsWelsh Rarebit Tartlets,3,Banoffee Opera Cake,Eliminated
4,9,Frances,"Légume CanapésChantenay Carrots, Choux Pastry Tomatoes, and Cauliflower Cheese Scones",2,Great British Soap Opera Cake,Safe
4,9,Kimberley,Pea Purée TartsCrab and Wasabi ProfiterolesSteamed Buns with Barbecue Chicken,1,Passion Fruit and Lime Opera Cake,Star Baker
4,9,Ruby,"Beetroot Jelly on Poppy Seed BiscuitsSpinach, Parmesan and Egg TartletsChoux Buns with Goat's Cheese and Caramelised Onions",4,"Chocolate, Almond Praline and Saffron Opera Cake",Safe
4,10,Frances,Rainbow Picnic Pie,3,Midsummer Night's Dream Wedding Cake,Winner
4,10,Kimberley,Chicken and Pig Pie,1,Languages of Love Wedding Cake,Runner-up
4,10,Ruby,Picnic Basket Pie,2,"Raspberry, Lemon and Passion Fruit Wedding Cake",Runner-up
5,1,Chetna,"Cardamom, Pistachio and Coffee Swiss Roll",3,Tiered Victoria Sponges with Lemon Curd and Raspberry Cream,Safe
5,1,Claire,Chocolatey Orangey Swiss Roll,8,Mini Chocolate and Cherry Cakes,Eliminated
5,1,Diana,Mum's Sunday Tea Lemon Curd Swiss Roll,5,Chocolate Ganache Surprises,Safe
5,1,Enwezor,Raspberry and Lemon Swiss Roll,9,Coffee and Walnut Battenberg Squares,Safe
5,1,Iain,Apricot and Basil Swiss Roll with Mascarpone and White Chocolate Cream,4,"Lemon Drizzle Cakes with Mascarpone Filling, Drizzled Icing and Candied Lemon",Safe
5,1,Jordan,Kawaii Frasier Swiss Roll,12,Lemon Drizzle Cakes with Blueberry and Lemon Curd,Safe
5,1,Kate,Red Velvet and White Chocolate Swiss Roll,6,Mini Tiered Victoria Sponges,Safe
5,1,Luis,Spanish Swiss Roll,7,Raspberry and Lemon Genoise Slices with Lemon Drizzles,Safe
5,1,Martha,Tiramisu Swiss Roll,2,Mini Lemon and Thyme Drizzle Cakes,Safe
5,1,Nancy,Coffee and Hazelnut Swiss Roll,1,Jaffa Orange Cakes,Star Baker
5,1,Norman,Black Forest Swiss Roll,11,Almond and Raspberry Mini Cakes,Safe
5,1,Richard,Pistachio and Strawberry Swiss Roll,10,Miniature Coffee and Walnut Cakes,Safe
5,2,Chetna,Fenugreek and Carom Crackers,8,Day On The Beach,Safe
5,2,Diana,Parmesan Triangles,7,"Express, First Class",Safe
5,2,Enwezor,Pumpkin and Sunflower Seed Savoury Biscuits,9,Space Adventure Moon Scene,Eliminated
5,2,Iain,Za'atar and Fig Biscuits,11,Wild West Scene,Safe
5,2,Jordan,"Sourdough, Parmesan and Chilli Biscuits",6,Monster Attack,Safe
5,2,Kate,Parmesan and Apple Biscuits,4,Tea Time,Safe
5,2,Luis,Black Olive and Rosemary Biscuits with Caramelised Onion Glaze,3,George Versus The Dragon,Safe
5,2,Martha,Caramelised Onion and Goat's Cheese Sandwich Biscuits,5,Ski Village Scene,Safe
5,2,Nancy,Fennel and Rye Thins,2,Hansel and Gretel Scene,Safe
5,2,Norman,Farthing Biscuits,10,Zulu Boats at Dawn,Safe
5,2,Richard,Rosemary Seeded Crackers,1,Pirates!,Star Baker
5,3,Chetna,Onion and Pine Nut Rolls,8,Rolled and Filled Twin Loaf,Safe
5,3,Diana,Rustic Picnic Rolls,7,Sharing Savoury Pinwheel,Safe
5,3,Iain,Cranberry and Walnut Rye Bread Rolls,9,Moroccan Plaited with a Bessara Dip,Safe
5,3,Jordan,Rye and Spelt Bread Rolls,10,Strawberry Raspberry Cheesecake Brioche,Eliminated
5,3,Kate,Orange and Cardamom Rye Bread Knots,1,"Prosciutto, Olive & Coriander Bread",Safe
5,3,Luis,Opposites Attract Rolls,2,Roscón de Reyes,Star Baker
5,3,Martha,Date and Walnut Rye Rolls,3,Stuffed Sunflower Loaf,Safe
5,3,Nancy,Cider and Walnut Crusty Rolls,5,'Full English' Stromboli,Safe
5,3,Norman,Rye Bread Rolls,4,Chicken and Roasted Vegetable Picnic Loaf,Safe
5,3,Richard,Rye and Cranberry Rolls,6,Pesto Pinwheel,Safe
5,4,Chetna,"Rhubarb, Strawberry and Orange Puddings",3,"Mango, Raspberry and Coconut Baked Alaska",Safe
5,4,Diana,Orange and Lemon Curd Pots,9,Raspberry Ripple Alaska Swan,Safe
5,4,Iain,"Chocolate, Lime and Raspberry Fondants",6,"Chocolate, Black Sesame Seed and Coffee Caramel Baked Alaska (not presented)",Eliminated
5,4,Kate,Chocolate and Salted Caramel Molten Puddings,7,"Pistachio, Raspberry and Chocolate Baked Alaska",Safe
5,4,Luis,Pears in Puddings,2,Bakewell Alaska,Safe
5,4,Martha,Peanut Butter Chocolate Fondants,1,Key Lime Baked Alaska,Safe
5,4,Nancy,Pistachio Puddings with Chocolate Sauce,4,Summer Pudding Alaska,Safe
5,4,Norman,Mini Sticky Toffee Puddings,8,Baked Alaska with Strawberry Surprise,Safe
5,4,Richard,Black Forest Chocolate Fondants,5,Tiramisu Baked Alaska,Star Baker
5,5,Chetna,Rice Custard Tart with Mangoes and Raspberries,2,Fusion Tiered Pies,Safe
5,5,Diana,Withdrew[a],NA,Withdrew[a],Withdrew[a]
5,5,Kate,Rhubarb and Custard Tart,3,"Rhubarb, Prune and Apple Pies",Star Baker
5,5,Luis,Tropical Manchester Tart,6,Four Fruity Seasons Tower,Safe
5,5,Martha,"Pistachio, Apricot and Honey Custard Tart",1,Three Little Pigs Pie,Safe
5,5,Nancy,Chocolate Crusted Passion Fruit Tart,4,Trio of Apple Pies,Safe
5,5,Norman,Tarte au Citron,5,Pieful Tower,Eliminated
5,5,Richard,Fig and Orange Tart,7,Three Course Autumn Pie Feast,Safe
5,6,Chetna,Orange Savarin with Cinnamon Cream,2,Almond Liqueur Dobos Torte with Chocolate Caramel Buttercream,Star Baker
5,6,Kate,"Pecan, Chocolate and Sour Cherry Yeast Cake",6,Trio of Dobos Tortes,Safe
5,6,Luis,Apple and Cinnamon Kugelhopf with Honeyed Apples,3,The Cage on the Rocky Hill,Safe
5,6,Martha,Dark Chocolate and Almond Liqueur Savarin,4,Chess-Themed Chocolate and Salted Caramel Dobos Torte,Safe
5,6,Nancy,Rum Punch Savarin with Coconut Cream and Tropical Fruits,1,Chocolate and Caramel Dobos Torte,Safe
5,6,Richard,Fruity Guglhupf with an Orange Glaze,5,Sugar Forest Dobos Torte,Safe
5,7,Chetna,Crispy Lentil Kachori,6,Chocolate and Mango & Lemon Meringue Éclairs,Safe
5,7,Kate,Spinach and Paneer Spicy Samosa,4,Neapolitan & Lemon Meringue Éclairs,Eliminated
5,7,Luis,Childhood Empanadas,5,Stars and Stripes Éclairs,Safe
5,7,Martha,Mini Beef Wellingtons,3,Rhubarb and Custard & Maple Syrup and Bacon Éclairs,Safe
5,7,Nancy,Spicy Duck Pasties,2,Smoked Salmon and Horseradish & Raspberry Ripple Éclairs,Safe
5,7,Richard,Minted Lamb Pasties,1,Stair of Éclairs,Star Baker
5,8,Chetna,Date and Walnut Swirl Bread,1,Chocolate Mousse Filled DoughnutsBraided Doughnuts,Safe
5,8,Luis,Black Forest Cherry Tree,2,Cocktail Doughnuts,Safe
5,8,Martha,Spiced Plum Iced Bread Swirl,5,Glazed Lemon & Poppyseed DoughnutsChocolate & Passion Fruit Doughnuts,Eliminated
5,8,Nancy,Lincolnshire Plum Braid,3,Doughnut Family Tree,Safe
5,8,Richard,Fruit Swedish Tea Ring,4,Rhubarb and CustardToffee Apple Doughnuts,Star Baker
5,9,Chetna,Chocolate Orange BaklavaMasala Chai Baklava,4,"Chocolate, Orange & Nut EntremetsCappuccino Entremets",Eliminated
5,9,Luis,Indian Rose BaklavaHalwa Baklava Rolls,1,"Chocolate Mousse & Cherry EntremetsPomegranate, Fig & Pistachio Sponge",Safe
5,9,Nancy,Coffee and Chocolate BaklavaBreakfast Baklava,3,Raspberry NonnettesLime and Passion Fruit Entremets,Safe
5,9,Richard,Rose and Pistachio BaklavaWalnut and Almond Baklava,2,Hazelnut Mocha EntremetsPink Grapefruit Entremets,Star Baker
5,10,Luis,"Apple, Walnut, Raisin and Cheshire Cheese ChaussonsPain au Chocolat Blanc with Raspberries and Cream Cheese",2,Village in Chocolate,Runner-up
5,10,Nancy,Apple and Lemon KitesRaspberry and Almond Croissants,1,Red Windmill,Winner
5,10,Richard,Pear Pain au ChocolatPain Au Lait,3,Mill on the Hill,Runner-up
6,1,Alvin,Orange Vanilla and Fig Madeira Cake,2,Black Forest Gateau,Safe
6,1,Dorret,Madeira Cake with Candied Lemons,5,Enchanted Forest Gateau,Safe
6,1,Flora,Blood Orange Madeira Cake,6,Black Forest Gateau,Safe
6,1,Ian,Somewhere West of Madeira Cake,8,Black Forest Cherry Tree,Safe
6,1,Marie,Zingy Citrus Madeira Cake,3,A Walk in the Black Forest,Star Baker
6,1,Mat,Gin and Tonic Madeira Cake,7,Black Forest Gateau,Safe
6,1,Nadiya,Orange and Green Cardamom Madeira Cake,12,Quadruple Chocolate Black Forest Gateau,Safe
6,1,Paul,"Lemon, Ginger and Caraway Seed Madeira Cake",10,Black Forest Chocolate Creation,Safe
6,1,Sandy,Madeira Cake with Almond Liqueur and Chopped Apricots,9,Black Forest Gateau,Safe
6,1,Stu,Marley Madeira Cake,11,Purple Forest Gateau,Eliminated
6,1,Tamal,Pistachio and Rose Madeira Cake,4,Black Forest Gateau in a Chocolate Shell,Safe
6,1,Ugnė,Lemon and Thyme Madeira Cake,1,Falling Cup Gateau,Safe
6,2,Alvin,"Jackfruit, Pistachio and Macadamia Biscotti",6,Gingerbread Box filled with Brandy Snaps,Safe
6,2,Dorret,Almond and Apricot Biscotti with Amber Sugar Crystals,1,Box of Frogs,Safe
6,2,Flora,Wedding Biscotti,2,Honey and Earl Grey Tea Box,Safe
6,2,Ian,"Orange, Rosemary and Almond Biscotti",3,Sandwich de la Confiture,Star Baker
6,2,Marie,Biscotti Italiano,11,Russian Box,Eliminated
6,2,Mat,"Pistachio, Cranberry and White Chocolate Biscotti",5,Gingerbread Fire Engine,Safe
6,2,Nadiya,"Coconut, Fennel and Pistachio Biscotti",9,Box of Fortunes,Safe
6,2,Paul,"Chocolate, Hazelnut and Fig Biscotti",10,Memory Box,Safe
6,2,Sandy,Chocolate Chunk and Hazelnut Biscotti,4,Sundried Tomato Cheese Biscuit Box,Safe
6,2,Tamal,"Cinnamon, Maple and Cranberry Biscotti",8,Chessboard Box,Safe
6,2,Ugnė,White Wine Biscotti,7,Baby Climbing into the Cookie Box,Safe
6,3,Alvin,"Prosciutto, Manchego and Balsamic Onion Soda Breads",4,Cornucopia,Safe
6,3,Dorret,Walnut and Stilton Soda Breads,6,Unmade Bread,Eliminated
6,3,Flora,Fig and Hazelnut Rye Breads,2,Herb Couture,Safe
6,3,Ian,Wild Garlic Pesto Soda Breads,1,Flour Power,Star Baker
6,3,Mat,"Jalapeño, Mexican Cheddar and Smoked Salt Soda Breads",8,Curry Inspired Brighton Pavilion,Safe
6,3,Nadiya,Mexican Bread with Warm Tomato Salsa,9,Snake Charmer's Basket,Safe
6,3,Paul,Cranberry and Orange Sweet Soda Breads,10,King of the Jungle[a],Safe
6,3,Sandy,Soda Breads with Smoked Bacon and Onion,7,Basket of Bread Flowers with a Walnut and Blue Cheese Centre,Safe
6,3,Tamal,"Fig, Cheese and Walnut Breads",3,Breadcycle,Safe
6,3,Ugnė,Chocolate Quick Breads with Salted Caramel Sauce,5,Easter Basket,Safe
6,4,Alvin,Blackberry Crème Brûlées,9,Tower of Fruits Cheesecakes,Safe
6,4,Flora,Rhubarb and Ginger Crème Brûlées,3,Elderflower and Granola Cheesecakes,Safe
6,4,Ian,Pomegranate Two Ways Crème Brûlées,4,Trio of Spicy and Herby Baked Cheesecakes,Star Baker
6,4,Mat,Coconut Crème Brûlées,7,Chocolate Bar Cheesecakes,Safe
6,4,Nadiya,Cinnamon Tea Crème Brûlées,8,Fizzy Pop Cheesecakes,Safe
6,4,Paul,Almond Crème Brûlées,1,Berry Cheesecake Tower,Safe
6,4,Sandy,Pontefract Crème Brûlées,6,"Cassata, Whisky and Orange & Apple Pie Cheesecakes",Eliminated
6,4,Tamal,Rhubarb and Ginger Crème Brûlées,5,"Mango, Hazelnut and Rosemary Cheesecake Trio",Safe
6,4,Ugnė,Marula Fruit and Coffee Liqueur Crème Brûlées,2,"Lime, Coconut and Hazelnut Cheesecakes",Safe
6,5,Alvin,Pineapple Upside Down Cake,8,"Buko Pandan, Mango and Passion Fruit Ice Cream Roll",Safe
6,5,Flora,"Pistachio, Apple and Cardamom Madeleine Cake",3,Chocolate and Pear Bûche,Safe
6,5,Ian,Honey and Flowers Cake,5,Dessert Island,Safe
6,5,Mat,Sugar Free Carrot Cake,4,Raspberry & Coconut Ice Cream Roll,Safe
6,5,Nadiya,Naked Blueberry and Caraway Crunch Cake,1,Chocolate and Strawberry Lime Ice Cream Roll,Star Baker
6,5,Paul,Carrot & Pecan Cake,2,Dessert Island Getaway,Safe
6,5,Tamal,Honey and Grapefruit Polenta Cake,7,Passion Fruit and Pineapple Ice Cream Roll,Safe
6,5,Ugnė,Chocolate and Hazelnut Sugar-Free Cake,6,"Chocolate, Peanut Butter and Grape Jam Roll",Eliminated
6,6,Alvin,Plum Frangipane Tart,6,Smoked Salmon En Croûte and Vermouth Chicken à la King vol-au-vents,Eliminated
6,6,Flora,Apricot and Rosemary Frangipane Tart,2,Asparagus and Parma Ham and Praline and Chocolate vol-au-vents,Safe
6,6,Ian,Pear and Raspberry Frangipane Tart,3,vol-au-vents Terre et Mer,Safe
6,6,Mat,Piña Colada Frangipane Tart,1,His 'n' Hers vol-au-vents,Star Baker
6,6,Nadiya,"Bay Leaf, Rong Tea and Pear Tart",4,Bengali Korma and Clementine with Cod vol-au-vents,Safe
6,6,Paul,Christmas Frangipane Tart,5,Savoury and Sweet Bouchées,Safe
6,6,Tamal,Spiced Pear Frangipane Tart,7,Fennel and Rosemary Pulled Pork and Chicken and Coriander vol-au-vents,Safe
6,7,Flora,Game Pie with Shallot and Apple Chutney,4,"Raspberry, Pomegranate and Champagne Charlotte Russe",Safe
6,7,Ian,Roadkill Pie,5,Victoria's Crown Charlotte Russe,Safe
6,7,Mat,Raised Venison and Pigeon Pie,6,Strawberry Charlotte Russe,Eliminated
6,7,Nadiya,Aromatic Raised Game Pie,1,Mango and Raspberry Charlotte Russe,Safe
6,7,Paul,Not a Boaring Pie,2,Charlotte Rose,Safe
6,7,Tamal,Middle Eastern Game Pie,3,"Spiced Blackberry, Raspberry and Cardamom Charlotte Russe",Star Baker
6,8,Flora,Peach & Lemon Thyme and Smoked Almond & Butterscotch Cream Horns,3,Lime & Basil and Coconut & White Chocolate Religieuse à l'ancienne,Safe
6,8,Ian,Mont Blanc & Black Forest Gâteau Horns,2,Nun with Hidden Passions,Safe
6,8,Nadiya,Rose Pistachio and Mocha Hazelnut Horns,1,Bubble Gum and Peppermint Cream Religieuse à l'ancienne,Star Baker
6,8,Paul,Café Tipple & Banana Crunch-away Horns,5,Religieuse à l'ancienne,Eliminated
6,8,Tamal,Lime & Mascarpone and Malt Cream Horns,4,Passionfruit & Mango and Pistachio & Raspberry Religieuse à l'ancienne,Safe
6,9,Flora,Passion Fruit and Chocolate Tart,1,Cocoa Carousel,Eliminated[a]
6,9,Ian,Chocolate and Bay Tart,3,Chocolate Well,Safe
6,9,Nadiya,Peanut Salted Caramel and Chocolate Tart,4,Peacock in Nan's Door,Star Baker
6,9,Tamal,Chocolate New York Pie,2,Chocolate Bell Tower,Safe
6,10,Ian,Elderflower and Lemon & Spiced Buns,2,Colossal Curvy Carrot Cake,Runner-up
6,10,Nadiya,Cardamom and Almond Buns & Nutmeg and Sour Cherry Fingers,1,My Big Fat British Wedding Cake,Winner
6,10,Tamal,Cinnamon and Apple & Toffee and Marmalade Iced Buns,3,Sticky Toffee Pudding Cake,Runner-up
7,1,Andrew,Lemon and Rosemary Drizzle Cake,12,'Ultimate Indulgence' Mirror Glaze Cake,Safe
7,1,Benjamina,"Pistachio, Cardamom and Lemon Drizzle Cake",6,White Chocolate Mirror Glaze with Salted Praline Buttercream,Safe
7,1,Candice,Raspberry and Rhubarb Drizzle Custard Bundt Cake,5,"Mirror Mirror On The Wall, Who Is The Shiniest Cake Of Them All?",Safe
7,1,Jane,Lemon and Poppy Seed Drizzle Cake,7,Chocolate Orange Mirror Cake,Star Baker
7,1,Kate,Berry Best Apple and Bramble Drizzle Cake,4,One Swallow Does Not Make A Summer Cake,Safe
7,1,Lee,St. Clements Orange and Lemon Drizzle Cake,11,Strawberry Surprise Mirror Cake,Eliminated
7,1,Louise,Orange Liqueur and Lemonade Drizzle Cake,9,White Chocolate Trifle Mirror Glaze Cake,Safe
7,1,Michael,"Lime, Ginger and Honey Drizzle Cake",3,Matcha Tea Chocolate Mirror Glaze,Safe
7,1,Rav,Ginger Spice Yuzu Drizzle Cake,8,Colombian Mocha Mirror Glaze Cake,Safe
7,1,Selasi,Citrus and Spice Drizzle Cake,1,"Raspberry, Sloe and White Chocolate Mirror Glaze Cake",Safe
7,1,Tom,G&T Drizzle Cake,2,Black Forest Broken Mirror,Safe
7,1,Val,Mum's Orange and Lemon Drizzle,10,Chocolate Sponge with Four Fruit Frosting,Safe
7,2,Andrew,Beehive Biscuits,4,Punting in Cambridge,Safe
7,2,Benjamina,Bouquet Biscuits,3,"New York, New York",Safe
7,2,Candice,"Salted Caramel, Chocolate Iced Shiny Hearts",8,Gingerbread Pub with Sticky Ginger Carpet,Star Baker
7,2,Jane,Flower Pot Iced Biscuits,2,Hastings Old Town Fishing Net Shops and Boat,Safe
7,2,Kate,"""A Biscuit for the Broads""",1,"""I Promise I will do my best""",Safe
7,2,Louise,Baa Bara Brith Biscuits,10,Gingerbread Wedding,Eliminated
7,2,Michael,"Malt, Chocolate and Orange Iced ""Beer"" Biscuits",9,Trip to See Santa in Lapland,Safe
7,2,Rav,Union Jack Bunting Biscuits,6,Gingerbread Christmas Fairground,Safe
7,2,Selasi,"""Wheelie Hot Iced Biscuits""",11,Stained Glass Window Gingerbread Church,Safe
7,2,Tom,Chai Frappelatteccino Biscuits,7,Tom and Pod's Near Death Experience,Safe
7,2,Val,Sunday Treat Iced Ice Cream Cone Biscuits,5,From Holland to New York via Yorkshire,Safe
7,3,Andrew,Chocolate Barmbrack Bread,2,Braided Harvest Bread Basket,Safe
7,3,Benjamina,"Chocolate, Tahini and Almond Babka",6,Braided Bread Heart,Safe
7,3,Candice,"Chocolate, Salted Caramel & Pecan Brittle Brioche Bread",3,Italian Light and Dark Rye Twist,Safe
7,3,Jane,Chocolate and Cranberry Couronne,9,Chorizo and Chilli Flower with Parmesan and Pesto Centre,Safe
7,3,Kate,Cobbled Loaf,8,The Corn Maiden,Safe
7,3,Michael,Chocolate and Chilli Swirl Plait,7,Cypriot Dove and Olive Branch Plaited Loaf with Houmous,Eliminated
7,3,Rav,"Chocolate, Cardamom and Hazelnut Loaf",10,Three Tier Diwali Bread Centrepiece,Safe
7,3,Selasi,"Chocolate, Orange and Cinnamon Bread",5,Bedouin Escape Tear and Share Bread,Safe
7,3,Tom,Chocolate Orange and Chilli Swirl Bread,4,Jörmungandr and Mjölnir,Star Baker
7,3,Val,Double Chocolate Cinnamon Twist Loaf,1,"""And They All Went Into The Ark To Get Out Of The Rain""",Safe
7,4,Andrew,Yorkshire 'Tapas' Puddings,4,Churros Window Box,Safe
7,4,Benjamina,"Red Onion Chutney, Brie and Bacon Yorkshire Puddings",1,Tropical Churros,Star Baker
7,4,Candice,Yorkshire Wellingtons,2,Two-Way Peanut Butter Churros,Safe
7,4,Jane,Meat and Two Veg Yorkshires,3,Pistachio and White Chocolate Churros,Safe
7,4,Kate,Christmas Dinner Compromise,7,Hot Cross Bunny Churros,Eliminated
7,4,Rav,Thai Tofu Panang Yorkshires,9,Three Dip Matcha Pistachio Churros,Safe
7,4,Selasi,Perfect Sunday Roast Accompaniment,8,Lemon and Anise Churros,Safe
7,4,Tom,West Yorkshire Fusion Puddings,5,Fennel Churros Snake In The Grass,Safe
7,4,Val,Mum's Chilli Yorkshire Puddings,6,Orange Chocolate Churros,Safe
7,5,Andrew,Mum and Dad's Breakfast Pastries,6,Spicy Chorizo Squash ParcelsBaklava Bites,Safe
7,5,Benjamina,'Good Morning America' SwirlsPeanut Butter and Banana Pinwheels,5,Plantain and Spinach SamosasChai Pear Cups,Safe
7,5,Candice,"Danish Pastry Croque Monsieur KitesCinnamon Apple, Vanilla Crème Rose Danish",2,"Sausage, Black Pudding and Apple RoundsBanoffee Whiskey Cups",Star Baker
7,5,Jane,"Orange Pain au RaisinsRaspberry, Chocolate and Almond Danish",1,"Roquefort, Fig and Walnut ParcelsCherry and Chocolate Cones",Safe
7,5,Rav,"Cinnamon SwirlsPecan, Walnut and Maple Plaits",8,Chinese Style Prawn Filo TartletsSpiced White Chocolate and Hazelnut Samosas,Safe
7,5,Selasi,"Rhubarb, Mango and Ginger PlaitPineapple and Coconut Pinwheels",3,"Parma Ham, Asparagus and Cheese Filo CigarsCoffee Cream Filo Cups",Safe
7,5,Tom,Mega Breakfast Bonanzas (Granola Spirals and Wheat Foldovers),4,Yin and Yang Amuse-bouche,Safe
7,5,Val,"Pecan and Maple Syrup PinwheelsApple, Sultana and Cinnamon Swirls",7,"Caramelised Red Onion, Goats Cheese TartletsMincemeat and Apple Spiced Parcels",Eliminated
7,6,Andrew,Tangy Lime and Ginger Meringue Pie,6,Spring Elderflower Trio,Safe
7,6,Benjamina,Grapefruit and Ginger Meringue Pie,2,Floral Tea Cake,Safe
7,6,Candice,"Lime, Coconut and Lemongrass Sugar Meringue Pie",5,Four Seasons Cake,Safe
7,6,Jane,Lime and Coconut Meringue Pie,4,Three Tier Orange Cake with a Floral Chocolate Collar,Safe
7,6,Rav,Mandarin Margarita Meringue Pie,3,Blossom Cake,Eliminated
7,6,Selasi,"Grapefruit, Orange and Mint Meringue Pie",7,Three Tiered Ombré Floral Cake,Safe
7,6,Tom,Blood Orange Halloween Pumpkin Pie,1,Floral Tea Cake,Star Baker
7,7,Andrew,Tropical Holiday Roulade,1,Childhood Ice Cream Mousse Cakes,Star Baker
7,7,Benjamina,Piña Colada Roulade,3,Apple Crumble Mousse CakeChocolate Coffee Mousse Cake,Safe
7,7,Candice,Crowd Pleaser Roulade,2,Blackberry and Raspberry BubblesAfter Dinner Mousse,Safe
7,7,Jane,Chocolate and Hazelnut Roulade,4,"Chocolate, Coffee, and Vanilla Joconde CakesBlackcurrant and Vanilla Ombré Mousses",Safe
7,7,Selasi,Summer Picnic Roulade,6,"Lemon, Raspberry and Passionfruit and Chocolate and Mint Mini Mousse Cakes",Safe
7,7,Tom,Millionaire's Roulade,5,Hipster Picnic,Eliminated
7,8,Andrew,Da Vinci Inspired Geared Pies,2,Jousting Knights Marchpane,Safe
7,8,Benjamina,Mexican Adventure,4,Tudor Garden,Eliminated
7,8,Candice,Cheesy Cheeky Fish Pies,1,Peacock,Star Baker
7,8,Jane,Tudor Rose Pies,5,Swans,Safe
7,8,Selasi,Bouquet of Flowers,3,Fruity Tudor Marchpane,Safe
7,9,Andrew,Cheesy Elephant EarsHerby Treble Clefs,2,Philharmonic Fondants,Star Baker
7,9,Candice,"Red Onion, Cambozola and Walnut PalmiersMushroom, Streaky Bacon, and Parmesan Palmiers",3,Chocolate Praline Fondant FanciesCherry Bakewell Fondant Fancies,Safe
7,9,Jane,"Pesto and Sundried Tomato PalmiersGoats Cheese, Olive and Parma Ham Palmiers",1,Pistachio and Raspberry Fondant FanciesLemon Curd Surprise Fondant Fancies,Safe
7,9,Selasi,"Sundried Tomato, Onion, Peppers and Parmesan PalmiersSalmon, Spinach and Mushroom Palmiers",4,Lime and Ginger Fondant FanciesPink Velvet and Raspberry Prosecco Fondant Fancies,Eliminated
7,10,Andrew,Crunchy Caramel Cassis Crown,1,Family and Friends' Favourites Picnic,Runner-up
7,10,Candice,Queen Victoria's Mango and Strawberry Crown,2,Picnic for Pearly Kings and Queens,Winner
7,10,Jane,"Red, White and Blue Meringue Crown",3,Family Favourites Feast,Runner-up
8,1,Chris,Tropical Fresh Fruit Cake,12,'Raised Pork Pie and Egg Surprise' Cake,Safe
8,1,Flo,Citrus Layer Cake,9,'One in a Melon' Cake,Safe
8,1,James,"Orange, Rhubarb & Ginger Crumble Cake",2,'Mock-accino and Croissant' Cake,Safe
8,1,Julia,Courgette and Lemon Cake,3,'Russian Doll' Cake,Safe
8,1,Kate,Moroccan Strawberry and Rose Cake,1,'Chocolate Terrarium' Cake,Safe
8,1,Liam,Apple and Almond Crumble Maple Loaf,8,'Stackin' Sunday' Cake,Safe
8,1,Peter,Coconut Cake,10,'Bread on a Breadboard' Cake,Eliminated
8,1,Sophie,Pineapple and Coconut Sandwich Cake,5,'Champagne Bottle and Bucket' Cake,Safe
8,1,Stacey,Granny Smith Apple and Walnut Cake,11,'Black Evening Clutch Bag' Cake,Safe
8,1,Steven,Bonfire Night Cake,6,'A Baker's Lunch' Cake,Star Baker
8,1,Tom,Gilded Pear and Cardamom Cake,7,'Stack of Books' Cake,Safe
8,1,Yan,Windfall Apple Crumble Cake,4,'Banana-ramen' Cake,Safe
8,2,Chris,Chocolate Chia Seed Biscuits with Whisky Caramel Filling,11,'The Great British Sail Off' Game,Eliminated
8,2,Flo,Gin Jam Butties,10,'Pick My Bones' Game,Safe
8,2,James,Rhubarb and Custard Whirls,3,'Coppit' Game,Safe
8,2,Julia,Middle Eastern Delight Sandwich Biscuits,4,'A British Baking' Game,Safe
8,2,Kate,Coconut Seashells for a Titanic Afternoon Tea,8,'Jungle' Game,Safe
8,2,Liam,Coffee Malted Pecan Shorties,7,'Classroom Classics' Game,Safe
8,2,Sophie,Lemon Limoncino Sandwich Biscuits,2,'Snakes and Ladders' Game,Safe
8,2,Stacey,Sparkly Chocolate and Marshmallow Fluff Cookies,9,'Get to School' Game,Safe
8,2,Steven,Amarpressi Biscuits,6,'Check Bake' Game,Star Baker
8,2,Tom,Coffee and Amaretto Kisses,5,'Drain Pipes and Ladders' Game,Safe
8,2,Yan,'Mrs. Marian's PB 'n' B' Biscuits,1,'Adventures in Bakeland' Game,Safe
8,3,Flo,Cinnamon and Orange Teacakes,7,'Davy Jones' Locker' Bread Sculpture,Eliminated
8,3,James,Nordic Teacakes,9,'Owl in the Woods' Bread Sculpture,Safe
8,3,Julia,Earl Grey Dried Fruit Teacakes,2,'The Snail Under a Mushroom' Bread Sculpture,Star Baker
8,3,Kate,Blueberry Buns,10,'Kraken' Bread Sculpture,Safe
8,3,Liam,Jamaican Spiced Teacakes,5,'Kneadapolitan' Bread Sculpture,Safe
8,3,Sophie,Tagine Teacakes,6,'Picnic Basket' Bread Sculpture,Safe
8,3,Stacey,Cranberry and Cinnamon Teacakes,1,'Ascot Hat' Bread Sculpture,Safe
